Result,Elo,ECO,Opening
1-0,1754,C50,Italian Game: Giuoco Pianissimo; Normal
1-0,1499,C30,King's Gambit Declined; Queen's Knight Defence
1-0,1674,B20,Sicilian Defence: Myers Attack #2
0-1,1234,C20,King's Pawn Game: Wayward Queen Attack; Kiddie Countergambit
0-1,1346,C00,French Defence: Queen's Knight
0-1,1955,C80,Ruy Lopez: Open Variations; Bernstein Variation
0-1,1585,C55,Italian Game: Anti-Fried Liver Defence
1-0,1787,D20,Queen's Gambit Accepted: Central Variation; Modern Defence
1-0,1246,B01,Scandinavian Defence
0-1,1241,D02,Queen's Pawn Game: Zukertort Variation
0-1,1450,B20,Sicilian Defence: Bowdler Attack
0-1,1928,C60,Ruy Lopez: Cozio Defence
0-1,1593,A00,Van't Kruijs Opening
0-1,1667,A40,Horwitz Defence
0-1,1609,C30,King's Gambit Declined; Queen's Knight Defence
0-1,1614,D04,Queen's Pawn Game: Colle System
1-0,2180,C63,Ruy Lopez: Schliemann Defence
0-1,1476,B50,Sicilian Defence
1-0,1750,B00,Owen Defence
0-1,1422,D02,Queen's Pawn Game: Chigorin Variation
0-1,1189,C20,King's Pawn Game: Leonardis Variation
1-0,1547,D31,Queen's Gambit Declined: Queen's Knight Variation
0-1,1587,B01,Scandinavian Defence
1-0,1894,D11,Slav Defence: Quiet Variation
0-1,1589,A01,Nimzo-Larsen Attack: Modern Variation #3
0-1,1437,A43,Franco-Benoni Defence
1-0,1792,D20,Queen's Gambit Accepted: Central Variation; Modern Defence
1-0,1854,C41,Philidor Defence: Philidor Countergambit
0-1,1921,B18,Caro-Kann Defence: Classical Variation
1-0,1608,C50,Italian Game: Schilling-Kostic Gambit
1/2-1/2,1579,D31,Queen's Gambit Declined: Queen's Knight Variation
0-1,1540,B20,Sicilian Defence: Bowdler Attack
1-0,1639,C20,King's Pawn Game: Leonardis Variation
0-1,1355,A40,Englund Gambit Declined; Reversed French
1/2-1/2,1427,B21,Sicilian Defence: Smith-Morra Gambit #2
0-1,1526,B07,Pirc Defence
1-0,1800,B00,Goldsmith Defence
0-1,1911,D30,Queen's Gambit Declined
1-0,1405,B12,Caro-Kann Defence
1-0,1671,C24,Bishop's Opening: Berlin Defence
1-0,1848,C46,Four Knights Game
1-0,1441,B00,Nimzowitsch Defence: Scandinavian Variation; Advance Variation
1-0,1277,A41,Queen's Pawn
1-0,1791,B02,Alekhine Defence: The Squirrel
1-0,1442,D00,Queen's Pawn Game: Mason Attack
1-0,1470,C45,Scotch Game
0-1,1543,D00,Queen's Pawn Game
0-1,1476,C23,Bishop's Opening
0-1,1374,B21,Sicilian Defence: Smith-Morra Gambit #2
0-1,1810,B30,Sicilian Defence: Old Sicilian
0-1,1808,C00,French Defence: Knight Variation
1-0,1577,A43,Benoni Defence: Benoni Gambit Accepted
1/2-1/2,1518,D01,Queen's Pawn Game: Chigorin Variation
1-0,1317,D00,Queen's Pawn Game
0-1,1266,C20,King's Pawn Game: Leonardis Variation
0-1,1543,D35,Queen's Gambit Declined: Normal Defence
0-1,1758,B01,Scandinavian Defence: Modern Variation #2
0-1,1687,A34,English Opening: Symmetrical Variation; Normal Variation
1-0,1587,A43,Old Benoni Defence
1-0,1723,B06,Modern Defence
0-1,1519,C50,Italian Game
0-1,1340,A00,Van't Kruijs Opening
1-0,1292,C55,Italian Game: Anti-Fried Liver Defence
1-0,1474,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit
0-1,1384,C41,Philidor Defence #2
0-1,1515,C62,Ruy Lopez: Steinitz Defence
1-0,1911,B01,Scandinavian Defence: Mieses-Kotroc Variation
0-1,1815,C00,French Defence: La Bourdonnais Variation
0-1,1467,C23,Bishop's Opening
1-0,1784,B13,Caro-Kann Defence: Panov Attack; Modern Defence; Mieses Line
1-0,1612,D01,Queen's Pawn Game: Veresov Attack; Classical Defence
0-1,1644,B01,Scandinavian Defence: Mieses-Kotroc Variation
0-1,1594,D05,Colle System
1-0,1857,C55,Italian Game: Anti-Fried Liver Defence
1-0,1375,C41,Philidor Defence #3
1-0,1541,D01,Queen's Pawn Game: Chigorin Variation
0-1,1724,A25,English Opening: King's English Variation; Reversed Closed Sicilian
1-0,1740,C41,Philidor Defence #3
0-1,2087,B12,Caro-Kann Defence: Advance Variation; Botvinnik-Carls Defence
0-1,1806,C50,Giuoco Piano
0-1,1315,C01,French Defence: Mediterranean Defence
0-1,1480,C42,Russian Game: Urusov Gambit
1-0,2006,B07,Pirc Defence #4
0-1,1510,C31,King's Gambit; Falkbeer Countergambit Accepted
1-0,1367,B07,King's Pawn Game: Maroczy Defence
1-0,1703,D00,Queen's Pawn Game: Mason Attack
0-1,1329,A00,Van't Kruijs Opening
1-0,1647,C44,Ponziani Opening
0-1,1582,C20,King's Pawn Game: Macleod Attack
1-0,1506,B30,Sicilian Defence: Old Sicilian
1-0,1485,B00,Nimzowitsch Defence: Kennedy Variation; Linksspringer Variation
1-0,1388,C41,Philidor Defence #3
1-0,1588,D05,Colle System
1-0,1464,A00,Ware Opening
0-1,1470,B10,Caro-Kann Defence
0-1,1691,A04,Zukertort Opening: Pirc Invitation
0-1,1461,D02,Queen's Pawn Game: Chigorin Variation
1-0,1667,C36,King's Gambit Accepted; Modern Defence
0-1,1568,C62,Ruy Lopez: Steinitz Defence
0-1,1469,C41,Philidor Defence #3
1-0,1486,C20,King's Pawn Game: Wayward Queen Attack
1-0,2101,A56,Benoni Defence
0-1,1365,B01,Scandinavian Defence: Main Line
0-1,1655,A45,Indian Game
0-1,1273,B08,Pirc Defence: Classical Variation
0-1,1768,C50,Giuoco Piano
0-1,1521,D02,Queen's Pawn Game: Zukertort Variation
0-1,1584,A00,Van't Kruijs Opening
1-0,1490,C21,Center Game #2
0-1,2012,C46,Three Knights Opening
0-1,1923,B00,Nimzowitsch Defence: Scandinavian Variation; Advance Variation
1-0,1643,C24,Bishop's Opening: Berlin Defence
1-0,1545,B20,Sicilian Defence: Bowdler Attack
0-1,1857,B23,Sicilian Defence: Grand Prix Attack
0-1,1531,C44,Scotch Game
1-0,1597,A45,Indian Game
1-0,1803,C02,French Defence: Advance Variation; Nimzowitsch System
1-0,1545,C02,French Defence: Advance Variation
0-1,1508,B07,Rat Defence: Harmonist
1-0,1470,C02,French Defence: Advance Variation #3
1-0,1607,A45,Indian Game
1-0,1589,B00,Nimzowitsch Defence
1-0,1429,C24,Bishop's Opening: Berlin Defence
1-0,1994,B24,Sicilian Defence: Closed Variation; Fianchetto Variation
1-0,1595,A40,Queen's Pawn
0-1,1593,A00,Hungarian Opening: Sicilian Invitation
1-0,1500,D02,Queen's Pawn Game: Zukertort Variation
0-1,2113,A56,Benoni Defence
0-1,1791,A00,Van't Kruijs Opening
0-1,1505,B21,Sicilian Defence: McDonnell Attack
1-0,1681,C46,Four Knights Game: Italian Variation
1-0,1616,A45,Indian Game
0-1,1407,A00,Van't Kruijs Opening
1-0,1688,C53,Italian Game: Classical Variation; Giuoco Pianissimo
1-0,1452,B07,Pirc Defence #4
